"Product Code","Product Name",Variant,Expected,Counted
0001,SAMOSA,,0.0000,
0002,KACHORI,,0.0000,
0003,"KANDA KACHORI",,0.0000,
0004,"VADA PAV",,0.0000,
0005,"BREAD SANDWICH",,0.0000,
0006,"BATATA VADA",,0.0000,
0007,"PANEER SANDWICH",,0.0000,
0008,"TANDOOR ROLL",,0.0000,
0010,"MAYONNAISE SANDWICH",,0.0000,
0011,"VEG PATTICE",,0.0000,
0012,"PANEER PATTICE",,0.0000,
0013,"DAHI VADA",,0.0000,
0016,"KHAMAN DHOKLA",,0.0000,
0017,"MOONGDAL DHOKLA",,0.0000,
0018,"IDLI DHOKLA",,0.0000,
0019,"SANDWICH DHOKLA",,0.0000,
0020,"ALU VADI",,0.0000,
0021,KHANDVI,,0.0000,
0022,"SADHI JALEBI",,0.0000,
0023,"DESI GHEE JALEBI",,0.0000,
0026,"SABUDANA VADA",,0.0000,
0027,"SABUDANA KHICHIDI",,0.0000,
0028,"ALU PATTICE",,0.0000,
0032,"HARA CHATNEY",,0.0000,
0033,"MITHA CHATNEY",,0.0000,
0035,"KULCHA PACKET",,0.0000,
0036,"NOODLES SAMOSA",,0.0000,
0039,"MINI SAMOSA",,0.0000,
0151,"VADA MASALA",,0.0000,
0152,"SABUDANA MASALA",,0.0000,
0154,"SABUDANA CHUTNEY",,0.0000,
0201,"PAKKA PEDHA",,0.0000,
0202,"KESAR PEDHA",,0.0000,
0203,"CHUDI PEDHA",,0.0000,
0204,"GOLI PEDHA",,0.0000,
0205,"KANDI PEDHA",,0.0000,
0206,"MATHURA PEDHA",,0.0000,
0207,"ELAICHI PEDHA",,0.0000,
0208,"SHAHI PEDHA",,0.0000,
0209,"MYSORE PAK",,0.0000,
0210,"AJMERI PAK",,0.0000,
0211,"MANGO VADI",,0.0000,
0212,"AKHROT BARFI",,0.0000,
0213,"DRYFRUIT BARFI",,0.0000,
0214,"DRYFRUIT ANJEER BARFI",,0.0000,
0215,"KESAR PISTA BARFI",,0.0000,
0216,"PISTA BARFI",,0.0000,
0217,"PISTA TILL BARFI",,0.0000,
0218,"CHOCOLATE TILL BARFI",,0.0000,
0220,"KHOBRA BARFI",,0.0000,
0221,"GULKAND BARFI",,0.0000,
0222,"SANTRA BARFI",,0.0000,
0223,"PINEAPPLE BARFI",,0.0000,
0224,"MALAI BARFI",,0.0000,
0225,"MANGO MALAI BARFI",,0.0000,
0226,"DODA BARFI",,0.0000,
0227,"MOHAN THAL BARFI",,0.0000,
0228,"MUNG DAL BARFI",,0.0000,
0229,"DOUBLE DECKER BARFI",,0.0000,
0230,"CHOCOLATE CHOCOBAR ROLL",,0.0000,
0231,"MANGO TUTTI FRUTTI ROLL",,0.0000,
0232,"KESAR BARFI",,0.0000,
0233,"STRAWBERRY TILL BARFI",,0.0000,
0235,"SUGARLESS APRICOT BARFI",,0.0000,
0236,"MILK CAKE",,0.0000,
0237,"SUGARLESS MILK CAKE",,0.0000,
0238,"FIKA MAVA",,0.0000,
0239,"MITHA MAVA",,0.0000,
0240,"JODHPUR KALAKAND",,0.0000,
0241,"RAJWADI PEDHA",,0.0000,
0242,"PATISA ROLL",,0.0000,
0250,"KAJU FANCY",,0.0000,
0251,"KAJU KATLI",,0.0000,
0252,"PISTA KATLI",,0.0000,
0253,"KAJU KESAR KATLI",,0.0000,
0254,"BADAM KATLI",,0.0000,
0255,"CHOCOLATE SANGAM KATLI",,0.0000,
0256,"CHOCOLATE ANJEER KATLI",,0.0000,
0257,"BADAM KESAR VATI",,0.0000,
0258,"KAJU BUTTERSCOTCH VATI",,0.0000,
0259,"KAJU ANARKALI",,0.0000,
0260,"PISTA BADAM VATI",,0.0000,
0261,"ROASTED BADAM VATI",,0.0000,
0262,"KAJU APPLE",,0.0000,
0263,"KAJU LADDU",,0.0000,
0264,"KAJU MYSORE PAK",,0.0000,
0265,"DRYFRUIT RIM JIM",,0.0000,
0266,"DRYFRUIT DIAMOND CAKE",,0.0000,
0267,"DRYFRUIT HONEY ROLL",,0.0000,
0268,"DRYFRUIT ROSE LADDU",,0.0000,
0269,"DRYFRUIT CHOCOLATE CHOCOCHIPS LADDU",,0.0000,
0270,"DRYFRUIT WHITE CHOCOCHIP LADDU",,0.0000,
0271,"DRYFRUIT SILVER MOHINI",,0.0000,
0272,"DRYFRUIT ANJEER PAAN",,0.0000,
0273,"DRYFRUIT PISTA PAAN",,0.0000,
0274,"PISTA LADDU",,0.0000,
0275,"ROASTED BADAM GUJIYA",,0.0000,
0276,"ANJEER KHAS KHAS ROLL",,0.0000,
0277,"KAJU PISTA ROLL",,0.0000,
0278,"KAJU KESAR ROLL",,0.0000,
0279,"KAJU ANJEER ROLL",,0.0000,
0280,"BADAM ROLL",,0.0000,
0281,"SUGARLESS PINEAPPLE BARFI",,0.0000,
0282,"SUGARLESS KIWI BARFI",,0.0000,
0283,"SUGARLESS ANJEER DRYFRUIT BARFI",,0.0000,
0284,"ROSE BITE",,0.0000,
0285,"ORANGE BITE",,0.0000,
0286,"CHOCOLATE BITE",,0.0000,
0287,"CRUNCH HEZALNUT",,0.0000,
0288,"CRUNCH KESAR",,0.0000,
0289,"CRUNCH MANGO",,0.0000,
0290,"CRUNCH OREO",,0.0000,
0291,"SQUARE BAKLAWA",,0.0000,
0292,"PYRAMID BAKLAWA",,0.0000,
0293,"DRYFRUIT BAKLAWA",,0.0000,
0294,"FINGER BAKLAWA",,0.0000,
0295,"ANJEER KATLI (NO CHOCOLATE)",,0.0000,
0296,"ROSE RUPA",,0.0000,
0301,"BALUSHAHI [ DESI GHEE ]",,0.0000,
0302,"BALUSHAHI [ SADHA GHEE ]",,0.0000,
0303,"MITHA DAHI VADA [DESI GHEE]",,0.0000,
0304,"MITHA DAHI VADA [SADHA GHEE]",,0.0000,
0314,"SOANPAPDI [SADHA GHEE]",,14.5000,
0324,"MITHA BUNDI 250gm",,0.0000,
0325,"MITHA BUNDI LOOSE [SADHA GHEE]",,0.0000,
0332,"TILL LADDU",,0.0000,
0354,"KALA GULAB JAMUN",,0.0000,
0360,"TIL LADDU 250 GM",,0.0000,
0429,RASGULLA,,0.0000,
0453,"DRYFRUIT GAJAK [LOOSE]",,0.0000,
0454,"DRYFRUIT GAJAK 250GM",,0.0000,
0455,"DRYFRUIT GAJAK 400GM",,0.0000,
0456,"JAIPURI TILL PAPDI [LOOSE]",,0.0000,
0458,"SHAHI CHIKKI [LOOSE]",,0.0000,
0459,"SHAHI CHIKKI 250GM",,0.0000,
0463,"MITHA FINI 250GM",,0.0000,
0464,"FIKI WHITE FINI 150GM",,0.0000,
0465,"MAVA GUJIYA",,0.0000,
0466,"CHOCOLATE GAJAK",,0.0000,
0469,"JAIPURI TILL PAPDI 400GM",,0.0000,
0475,"GAJAK KHASTA ROLL (250GM)",,0.0000,
0476,"KHASTA GAJAK (250GM)",,0.0000,
0477,"MITHA FENNI LOOSE",,90.0000,
0478,"FIKA WHITE FENNI LOOSE",,20.0000,
0483,"COW MILK RAW",,1360.0000,
0484,"BUFFALO MILK LOOSE",,160.0000,
0503,"ATTA COOKIES 200 GM",,0.0000,
0506,"COCONUT BADAM COOKIES 200 GM",,0.0000,
0507,"IRANI COOKIES 200 GM",,0.0000,
0508,"JAM ROLL COOKIES 250G",,0.0000,
0510,"KAJU BUTTER COOKIES 200 GM",,0.0000,
0511,"KAJU HONEY COOKIES 250 GM",,0.0000,
0512,"KESHAR PISTA BADAM COOKIES 200 GM",,0.0000,
0515,"PISTA BUTTER COOKIES 200GM",,0.0000,
0517,"BUTTERSCOTCH COOKIES 200GM",,0.0000,
0520,"PINEAPPLE COCONUT COOKIES 200GM",,0.0000,
0521,"DOUBLE CHOCO DELITE COOKIES",,0.0000,
0523,"ATTA JAGGREY COOKIES 200GM",,0.0000,
0525,"SUGAR FREE COOKIES 250GM",,0.0000,
0526,"SPECIAL BADAM COOKIES 200GM",,0.0000,
0531,"ATTA KHARI 200 GM",,0.0000,
0532,"ATTA KHARI 400 GM",,0.0000,
0533,"BUTTER KHARI 200 GM",,0.0000,
0534,"BUTTER KHARI 300 GM",,0.0000,
0535,"PREMIUM JEERA KHARI 200 GM",,0.0000,
0536,"PREMIUM JEERA KHARI 300 GM",,0.0000,
0546,"TWIST KHARI 200 GM",,0.0000,
0548,"GUJRATI BHAKARBARI KHARI 200GM",,0.0000,
0550,"CRUNCHI ATTA RUSK 200 GM",,0.0000,
0551,"CRUNCHI ATTA RUSK 400 GM",,0.0000,
0555,"CRUNCHI MILK RUSK 200 GM",,0.0000,
0557,"MINI RUSK 200GM",,0.0000,
0558,"CREAM ROLL",,0.0000,
0564,"SANDWICH BREAD 700 GM",,0.0000,
0565,"PANINI BREAD 400GM",,0.0000,
0571,"SLICE CAKE",,0.0000,
0572,"CHOCOLATE CHIPS BROWNI",,0.0000,
0589,"CHOCOLATE DONUT 2 PICES",,0.0000,
0651,"TUM TUM PURI 200 GM",,0.0000,
0739,"SAGAR POTATO WAFERS 25GM",,0.0000,
0740,"SAGAR POTATO WAFERS 85 GM",,0.0000,
0741,"SAGAR POTATO WAFERS 185 GM",,0.0000,
0742,"SAGAR POTATO WAFERS 500 GM",,0.0000,
